utterances,IOB Slot tags,Core Relations
are there any movies made in spain,O O O O O O B_country,movie.country
bring up spanish movies,O O B_language O,movie.country movie.language
can you show me movies spanish,O O O O O B_language,movie.country movie.language
can you show me spanish movies,O O O O B_language O,movie.country movie.language
find spanish movies,O B_language O,movie.country movie.language
find spanish movies,O B_language O,movie.country movie.language
get me spanish movies,O O B_language O,movie.country movie.language
I'd like a list of spanish movies,O O O O O B_language O,movie.country movie.language
I'd like to know some spanish movies,O O O O O B_language O,movie.country movie.language
i want only spanish movies,O O O B_language O,movie.country movie.language
i want to look up spanish movies,O O O O O B_language O,movie.country movie.language
list spanish movies,O B_language O,movie.country movie.language
list spanish movies,O B_language O,movie.country movie.language
look for spanish movies,O O B_language O,movie.country movie.language
search for spanish movies,O O B_language O,movie.country movie.language
search for spanish movies,O O B_language O,movie.country movie.language
show me spanish movies,O O B_language O,movie.country movie.language
spanish movie listing,B_language O O,movie.country movie.language
spanish movies,B_language O,movie.country movie.language
find romance movies,O B_genre O,movie.genre
give me a list of romance movies,O O O O O B_genre O,movie.genre
find me romantic movies,O O B_genre O,movie.genre
i want to find romantic movies,O O O O B_genre O,movie.genre
locate romantic movies for me,O B_genre O O O,movie.genre
list some movies that are in french,O O O O O O B_language,movie.language
find french language movies,O B_language I_language O,movie.language
find movies in french,O O O B_language,movie.language
find movies is french,O O O B_language,movie.language
list movies in french,O O O B_language,movie.language
look for movies in french,O O O O B_language,movie.language
search for movies in french,O O O O B_language,movie.language
search for movies in french,O O O O B_language,movie.language
show me movies produced in french,O O O O O B_language,movie.language
show movies in french,O O O B_language,movie.language
show only movies that are in french,O O O O O O B_language,movie.language
find french language movies,O B_language I_language O,movie.language
list of all french speaking films,O O O B_language O O,movie.language
list of french language movies,O O B_language I_language O,movie.language
show me movies in french,O O O O B_language,movie.language
can you list movies in french,O O O O O B_language,movie.language
find all films showing in french,O O O O O B_language,movie.language
show me a list of all the movies produced by william packer,O O O O O O O O O O B_producer I_producer,movie.produced_by
information about movie,O O O,
show me information about movie,O O O O O,
show me information on movie,O O O O O,
tell me about movie,O O O O,
please show me all of the films that involve kevin bacon,O O O O O O O O O B_person I_person,movie.starring.actor
i want movies about 9-11,O O O O B_subject,movie.subjects
what other movies has bill paxton starred in,O O O O B_cast I_cast O O,movie.starring.actor
find some suspenseful movies,O O B_genre O,movie.genre
a movie based on time travel,O O O O B_subject I_subject,movie.subjects
find time travel movies,O B_subject I_subject O,movie.subjects
give me a list of time travel movies,O O O O O B_subject I_subject O,movie.subjects
movies about time travel,O O B_subject I_subject,movie.subjects
show me movies about time travel,O O O O B_subject I_subject,movie.subjects
show me movies with time travel themes,O O O O B_subject I_subject O,movie.subjects
show me time travel movies,O O B_subject I_subject O,movie.subjects
show videos about time travel,O O O B_subject I_subject,movie.subjects
time travel movies,B_subject I_subject O,movie.subjects
what are movies whose topic involves time travel,O O O O O O B_subject I_subject,movie.subjects
movies about time travel,O O B_subject I_subject,movie.subjects
movies about time travel,O O B_subject I_subject,movie.subjects
show me movies about time travel,O O O O B_subject I_subject,movie.subjects
show me movies about time travel,O O O O B_subject I_subject,movie.subjects
show me some movies that are related to time travel,O O O O O O O O B_subject I_subject,movie.subjects
what are some movies that involve time travel,O O O O O O B_subject I_subject,movie.subjects
what movies discuss time travel,O O O B_subject I_subject,movie.subjects
quentin tarrantino movies,B_director I_director O,movie.directed_by
what movies did quentin terrantino direct,O O O B_director I_director O,movie.directed_by
list the movies anna paquin has starred in,O O O B_cast I_cast O O O,movie.starring.actor
movies from england,O O B_country,movie.country
movies from england,O O B_country,movie.country
movies from england please,O O B_country O,movie.country
show me england movies,O O B_country O,movie.country
show me movies from england,O O O O B_country,movie.country
show me movies made in england,O O O O O B_country,movie.country
find movies directed by chris columbus,O O O O B_director I_director,movie.directed_by
what other movies has richard lester directed,O O O O B_director I_director O,movie.directed_by
search for movies by language,O O O O O,movie.language
mandarin movie please,B_language O O,movie.language
please find a movie in mandarin,O O O O O B_language,movie.language
movie made in mandarin,O O O B_language,movie.language
which movies are originally in a foreign language,O O O O O O O O,movie.language
find me tamil movies,O O B_language O,movie.language
show me the latest movies in tamil,O O O O O O B_language,movie.language
find hindi movies,O B_language O,movie.language
find movies in hindi,O O O B_language,movie.language
list the hindi movies,O O B_language O,movie.language
what is hindi,O O B_language,movie.language
i would like to get a list of movie names in hindi language,O O O O O O O O O O O B_language I_language,movie.language
what films are not spoken in english,O O O O O O B_language,movie.language
what movies are spoken in another language,O O O O O O O,movie.language
i want to watch a romance made in india,O O O O O B_genre O O B_country,movie.country movie.genre
i need to get a list of some romantic indian movies,O O O O O O O O B_genre I_country O,movie.country movie.language movie.genre
find movies from india,O O O B_country,movie.country
look up movies from india,O O O O B_country,movie.country
see movies from india,O O O B_country,movie.country
find indian movies,O B_country O,movie.country movie.language
give me a list of some indian movies,O O O O O O B_country O,movie.country movie.language
brian de palma movies,B_director I_director I_director O,movie.directed_by
complete list of movies made by searchlight films,O O O O O O B_producer O,movie.production_companies
list movies by searchlight films,O O O B_producer O,movie.production_companies
list of movies produced by searchlight films,O O O O O B_producer O,movie.production_companies
what are some movies made by searchlight films,O O O O O O B_producer O,movie.production_companies
movies about bank robberies,O O B_subject I_subject,movie.subjects
show me sarah polley movies,O O B_person I_person O,movie.starring.actor
show me french r rated dramas,O O B_language B_mpaa_rating O B_genre,movie.country movie.language movie.genre movie.rating
list french language comedy films,O B_language I_language B_genre O,movie.language movie.genre
show french comedy films,O B_language B_genre O,movie.language movie.genre
what are some movies that were produced in europe,O O O O O O O O B_country,movie.country
films produced by laurie macdonald,O O O B_producer I_producer,movie.produced_by
find me dreamworks films,O O B_producer O,movie.production_companies
movie by dreamworks,O O B_producer,movie.production_companies
movie made by dreamworks,O O O B_producer,movie.production_companies
what movies are made by dreamworks,O O O O O B_producer,movie.production_companies
i'm looking for the cost of some movies,O O O O O O O O,movie.estimated_budget
what movies did kevin costner direct,O O O B_director I_director O,movie.directed_by
dirty dancing movie,B_movie I_movie O,
dirty dancing movie short cuts,B_movie I_movie O O O,
show me the dirty dancing movie,O O O B_movie I_movie O,
will you please show me info on the movie dirty dancing,O O O O O O O O O B_movie I_movie,
find the movie dirty dancing,O O O B_movie I_movie,
get me info for the movie dirty dancing,O O O O O O B_movie I_movie,
i need to get every possible information related with the movie dirty dancing,O O O O O O O O O O O B_movie I_movie,
i want to see infomation on the movie dirty dancing,O O O O O O O O B_movie I_movie,
i would like to get all the information about the movie dirty dancing,O O O O O O O O O O O B_movie I_movie,
please show me info on the movie dirty dancing,O O O O O O O B_movie I_movie,
show me all the information about the movie dirty dancing like story reviews cast etc,O O O O O O O O B_movie I_movie O O O O O,
show me info on the movie dirty dancing please,O O O O O O B_movie I_movie O,
show me information for the movie dirty dancing,O O O O O O B_movie I_movie,
show me more details for the movie dirty dancing,O O O O O O O B_movie I_movie,
can you please show me info on the movie dirty dancing,O O O O O O O O O B_movie I_movie,
can you tell me about the movie dirty dancing in detail,O O O O O O O B_movie I_movie O O,
what films has robert redford directed,O O O B_director I_director O,movie.directed_by
i want to see a robert redford produced movie,O O O O O B_producer I_producer O O,movie.produced_by
i would like to see something produced by robert redford,O O O O O O O O B_producer I_producer,movie.produced_by
bette midler movies,B_person I_person O,movie.starring.actor
bette midler movies please,B_person I_person O O,movie.starring.actor
show bette midler movies,O B_person I_person O,movie.starring.actor
show me cameron diaz movies,O O B_person I_person O,movie.starring.actor
show me movies with jennifer aniston,O O O O B_cast I_cast,movie.starring.actor
russell crowe movies,B_person I_person O,movie.starring.actor
about life is beautiful,O B_movie I_movie I_movie,
details about life is beautiful please,O O B_movie I_movie I_movie O,
find synopsis for life is beautiful,O O O B_movie I_movie I_movie,
i need page on life is beautiful,O O O O B_movie I_movie I_movie,
i want information about life is beautiful,O O O O B_movie I_movie I_movie,
i want to know about life is beautiful,O O O O O B_movie I_movie I_movie,
i would like to view info on life is beautiful,O O O O O O O B_movie I_movie I_movie,
life is beautiful,B_movie I_movie I_movie,
run a search for life is beautiful,O O O O B_movie I_movie I_movie,
show me life is beautiful information,O O B_movie I_movie I_movie O,
what's the synopsis of life is beatiful,O O O O B_movie I_movie I_movie,
footloose,B_movie,
show jason statham movies,O B_person I_person O,movie.starring.actor
find movies from new zealand,O O O B_country I_country,movie.country
show me the movies acted by bala krishna,O O O O O O B_cast I_cast,movie.starring.actor
korean language movie,B_language I_language O,movie.language
show me korean language movie,O O B_language I_language O,movie.language
can you find the movies with korean language,O O O O O O B_language I_language,movie.language
show me movies that are in korean,O O O O O O B_language,movie.language
portugese movies,B_country O,movie.country movie.language
current movie options for today with patrick swayze,O O O O O O B_cast I_cast,movie.starring.actor movie.initial_release_date
display all results for dirty dancing,O O O O B_movie I_movie,
find information on dirty dancing,O O O B_movie I_movie,
search for dirty dancing,O O B_movie I_movie,
search for dirty dancing,O O B_movie I_movie,
how can i view dirty dancing,O O O O B_movie I_movie,
dirty dancing facts,B_movie I_movie O,
did alfred hitchcock direct a comedy,O B_director I_director O O B_genre,movie.directed_by movie.genre
martin lawrence directed what movie,B_director I_director O O O,movie.directed_by
find movies from japan,O O O B_country,movie.country
show me movies from japan,O O O O B_country,movie.country
show me movies from japan,O O O O B_country,movie.country
what are some movies made in japan,O O O O O O B_country,movie.country
what movies came from japan,O O O O B_country,movie.country
which movies were made in japan,O O O O O B_country,movie.country
i want to find a list of movies made in japan,O O O O O O O O O O B_country,movie.country
do you have any movies made in japan,O O O O O O O B_country,movie.country
find japanese movies,O B_country O,movie.country movie.language
find japanese movies,O B_country O,movie.country movie.language
give me some names of japanese movies,O O O O O B_country O,movie.country movie.language
i want japanese movies,O O B_country O,movie.country movie.language
i want to see japanese movies,O O O O B_country O,movie.country movie.language
i would like to know names of some of the japanese movies,O O O O O O O O O O B_country O,movie.country movie.language
japanese movies,B_country O,movie.country movie.language
show me a list of some japanese movies,O O O O O O B_country O,movie.country movie.language
show me japanese movies,O O B_country O,movie.country movie.language
sort in all japanese movies,O O O B_country O,movie.country movie.language
do you have a list of japanese movies,O O O O O O B_country O,movie.country movie.language
i want to see a film in japanese,O O O O O O O B_language,movie.language
show me movies in japanese,O O O O B_language,movie.language
films with japaneese,O O B_language,movie.language
what movies have people speaking japanese in them,O O O O O B_language O O,movie.language
what are some japanese movies,O O O B_country O,movie.country movie.language
find movies in british english,O O O B_language I_language,movie.language
find movies from miramax,O O O B_producer,movie.production_companies
see miramax movies,O B_producer O,movie.production_companies
watch miramax,O B_producer,movie.production_companies
find movies with sandra bullock,O O O B_cast I_cast,movie.starring.actor
find sandra bullock movies,O B_person I_person O,movie.starring.actor
movies with sandra bullock,O O B_cast I_cast,movie.starring.actor
movies with vampires,O O B_subject,movie.subjects
what movies about vampires are there,O O O B_subject O O,movie.subjects
movies will smith stars in,O B_cast I_cast O O,movie.starring.actor
show me will smith movies,O O B_person I_person O,movie.starring.actor
what experience does darla anderson have as a producer,O O O B_producer I_producer O O O O,movie.produced_by
look for movies directed by tyler perry,O O O O O B_director I_director,movie.directed_by
which movies are directed by tyler perry,O O O O O B_director I_director,movie.directed_by
give me movies directed by tyler perry,O O O O O B_director I_director,movie.directed_by
search for movies directed by tyler perry,O O O O O B_director I_director,movie.directed_by
what films has selena gomez been in,O O O B_cast I_cast O O,movie.starring.actor
find a movie with mel gibson,O O O O B_cast I_cast,movie.starring.actor
only mel gibson movies,O B_person I_person O,movie.starring.actor
find movies produced by paramount pictures,O O O O B_producer I_producer,movie.production_companies
i want to see paramount movies,O O O O B_producer O,movie.production_companies
i would like a list of paramount movies,O O O O O O B_producer O,movie.production_companies
list some paramount produced films,O O B_producer O O,movie.production_companies
show all movies by paramount,O O O O B_producer,movie.production_companies
show me all the movies made by paramount,O O O O O O O B_producer,movie.production_companies
show only paramount movies,O O B_producer O,movie.production_companies
is there a list of movies about chess,O O O O O O O B_subject,movie.subjects
movies about chess,O O B_subject,movie.subjects
movies regarding the hobby of chess,O O O O O B_subject,movie.subjects
list some of the best world war 2 films,O O O O O B_subject I_subject I_subject O,movie.subjects
find movies about dogs,O O O B_subject,movie.subjects
find movies with a nc 17 only,O O O O B_mpaa_rating I_mpaa_rating O,movie.rating
find me nc-17 movies,O O B_mpaa_rating O,movie.rating
show me nc seventeen movies,O O B_mpaa_rating I_mpaa_rating O,movie.rating
play movies from turkey,O O O B_country,movie.country
what movies have come out of turkey,O O O O O O B_country,movie.country
can i have a list of bruce lee produced movies,O O O O O O B_producer I_producer O O,movie.produced_by
can you give me a list of movies produced by bruce lee,O O O O O O O O O O B_producer I_producer,movie.produced_by
show me movies produced by bruce lee,O O O O O B_producer I_producer,movie.produced_by
i want to see movies directed by michael bay,O O O O O O O B_director I_director,movie.directed_by
what movies did michael bay direct,O O O B_director I_director O,movie.directed_by
ed harris films,B_person I_person O,movie.starring.actor
show me all movies that star ed harris,O O O O O O B_cast I_cast,movie.starring.actor
more stuff about the movie go,O O O O O B_movie,
is parenthood a comedy,O B_movie O B_genre,movie.genre
find movies produced by mel gibson,O O O O B_producer I_producer,movie.produced_by
what movies has jerry bruckheimer produced,O O O B_producer I_producer O,movie.produced_by
i want to see chinese movies,O O O O B_country O,movie.country movie.language
show me chinese movies,O O B_country O,movie.country movie.language
show me dramas from china,O O B_genre O B_country,movie.country movie.genre
i want to watch a drama made in china,O O O O O B_genre O O B_country,movie.country movie.genre
give me the best baseball movies,O O O O B_subject O,movie.subjects
list movies filmed in ireland,O O O O B_location,movie.country movie.locations
list all the movies john travolta has done,O O O O B_person I_person O O,movie.starring.actor
columbia production company movies,B_producer O O O,movie.production_companies
find me 20 th century fox films,O O B_producer I_producer I_producer I_producer O,movie.production_companies
list of 20 th century fox films,O O B_producer I_producer I_producer I_producer O,movie.production_companies
watch century fox movies,O B_producer I_producer O,movie.production_companies
films produced by twentieth century fox,O O O B_producer I_producer I_producer,movie.production_companies
find movies by twentieth century fox,O O O B_producer I_producer I_producer,movie.production_companies
find twentieth century fox movies,O B_producer I_producer I_producer O,movie.production_companies
search twentieth century fox,O B_producer I_producer I_producer,movie.production_companies
show me movies by twentieth century fox,O O O O B_producer I_producer I_producer,movie.production_companies
show me elvis movies,O O B_person O,movie.starring.actor
do you have any pg thirteen rated movies,O O O O B_mpaa_rating I_mpaa_rating O O,movie.rating
show me pg thirteen movies,O O B_mpaa_rating I_mpaa_rating O,movie.rating
what movies are rated pg thirteen,O O O O B_mpaa_rating I_mpaa_rating,movie.rating
find pg thirteen movies,O B_mpaa_rating I_mpaa_rating O,movie.rating
show me movies that are rated pg thirteen,O O O O O O B_mpaa_rating I_mpaa_rating,movie.rating
list all movies rated pg-13,O O O O B_mpaa_rating,movie.rating
find movies with pg-13 only,O O O B_mpaa_rating O,movie.rating
i need to know names of some movies which have a rating of pg-13,O O O O O O O O O O O O O B_mpaa_rating,movie.rating
i want to find pg-13 rated movies,O O O O B_mpaa_rating O O,movie.rating
pg-13 movies,B_mpaa_rating O,movie.rating
which movies are rated pg-13,O O O O B_mpaa_rating,movie.rating
find a pg-13 movie,O O B_mpaa_rating O,movie.rating
find me pg-13 movies,O O B_mpaa_rating O,movie.rating
find movies that are rated pg-13,O O O O O B_mpaa_rating,movie.rating
give me a list of some movies that have pg-13 rating,O O O O O O O O O B_mpaa_rating O,movie.rating
i want to see a list of g rated movies,O O O O O O O B_mpaa_rating O O,movie.rating
list g,O B_mpaa_rating,movie.rating
what is a list of g movies,O O O O O B_mpaa_rating O,movie.rating
are there any g movies out there right now,O O O B_mpaa_rating O O O O O,movie.rating
find me movies rated g,O O O O B_mpaa_rating,movie.rating
find movies only g,O O O B_mpaa_rating,movie.rating
get me only g-rated movies,O O O B_mpaa_rating O,movie.rating
i want a list of movies rated g,O O O O O O O B_mpaa_rating,movie.rating
i want to see g -rated films now,O O O O B_mpaa_rating O O O,movie.rating
i want to take my kids to a g movie,O O O O O O O O B_mpaa_rating O,movie.rating
list of g movies,O O B_mpaa_rating O,movie.rating
list rating g,O O B_mpaa_rating,movie.rating
listing of g movies,O O B_mpaa_rating O,movie.rating
look for movies rated g,O O O O B_mpaa_rating,movie.rating
look up movies with a g rating,O O O O O B_mpaa_rating O,movie.rating
play list g,O O B_mpaa_rating,movie.rating
please select the option to search for g rated movies,O O O O O O O B_mpaa_rating O O,movie.rating
rating g,O B_mpaa_rating,movie.rating
search for movies rated g,O O O O B_mpaa_rating,movie.rating
show me g rated movies,O O B_mpaa_rating O O,movie.rating
show only g rated movies,O O B_mpaa_rating O O,movie.rating
what available movies are rated g,O O O O O B_mpaa_rating,movie.rating
what movies are currently playing that are rated g,O O O O O O O O B_mpaa_rating,movie.rating
find me movies rated g,O O O O B_mpaa_rating,movie.rating
find movies that are rated g,O O O O O B_mpaa_rating,movie.rating
find movies with g rating,O O O B_mpaa_rating O,movie.rating
g movies,B_mpaa_rating O,movie.rating
it is hard to find a movie that is rated g anymore,O O O O O O O O O O B_mpaa_rating O,movie.rating
list movies rated g,O O O B_mpaa_rating,movie.rating
only movies rated g,O O O B_mpaa_rating,movie.rating
rating g list,O B_mpaa_rating O,movie.rating
show me g movies,O O B_mpaa_rating O,movie.rating
there are several g movies,O O O B_mpaa_rating O,movie.rating
appropriate for kids,O O O,movie.rating
what movies can young children watch,O O O O O O,movie.rating
watch pg and g movies,O B_mpaa_rating O B_mpaa_rating O,movie.rating
did robert wise direct any other musical films,O B_director I_director O O O B_genre O,movie.directed_by movie.genre
find love stories,O B_subject O,movie.subjects
find love stories,O B_subject O,movie.subjects
show me a list of movies produced by mgm,O O O O O O O O B_producer,movie.production_companies
movies from the uk,O O O B_country,movie.country
show me british films,O O B_country O,movie.country
list uk movies,O B_country O,movie.country
get films from the united kingdom,O O O O B_country I_country,movie.country
i want to watch a comedy made in norway,O O O O O B_genre O O B_country,movie.country movie.genre
get me a list of movies that ron howard produce,O O O O O O O B_producer I_producer O,movie.produced_by
ron howard movies produce list,B_producer I_producer O O O,movie.produced_by
list movies directed by clint eastwood,O O O O B_director I_director,movie.directed_by
show director clint eastwood movies,O O B_director I_director O,movie.directed_by
what movies did clint eastwood direct,O O O B_director I_director O,movie.directed_by
movies directed by clint eastwood,O O O B_director I_director,movie.directed_by
list movies produced by sean penn,O O O O B_producer I_producer,movie.produced_by
find movies about vietnam,O O O B_subject,movie.subjects
what movies has spielberg been a producer on,O O O B_producer O O O O,movie.produced_by
i would like to select the option to search for movies produced by stephen spielberg,O O O O O O O O O O O O O O B_producer,movie.produced_by
please list all movies that stephen spielberg produced,O O O O O O B_producer O,movie.produced_by
select the option to search for movies produced by stephen spielberg,O O O O O O O O O O B_producer,movie.produced_by
which productions are from stephen spilberg,O O O O B_producer I_producer,movie.produced_by
find movies produced by steven spielberg,O O O O B_producer I_producer,movie.produced_by
list steven spielberg produced movies,O B_producer I_producer O O,movie.produced_by
show me movies produced by stephen spielberg,O O O O O B_producer I_producer,movie.produced_by
was kevin james in hitch,O B_cast I_cast O B_movie,movie.starring.actor
was will smith in hitch,O B_cast I_cast O B_movie,movie.starring.actor
show me a list of disney movies,O O O O O B_producer O,movie.production_companies
give me a list of some movies by producer walt disney,O O O O O O O O O B_producer I_producer,movie.production_companies
list all movies that walt disney produced,O O O O B_producer I_producer O,movie.production_companies
show all movies directed by ron howard,O O O O O B_director I_director,movie.directed_by
what movies has ron howard directed,O O O B_director I_director O,movie.directed_by
find movies by ron howard,O O O B_director I_director,movie.directed_by
show movies directed by ron howard,O O O O B_director I_director,movie.directed_by
find movies produced by brian glazer,O O O O B_producer I_producer,movie.produced_by
list spielberg movies,O B_director O,movie.directed_by
show spielberg movies,O B_director O,movie.directed_by
what did spielberg direct,O O B_director O,movie.directed_by
stephen spielberg movies,B_director I_director O,movie.directed_by
filmography for steven spielberg,O O B_director I_director,movie.directed_by
find movies directed by steven spielberg,O O O O B_director I_director,movie.directed_by
find steven spielberg movies,O B_director I_director O,movie.directed_by
i want to find movies directed by stephen speilberg,O O O O O O O B_director I_director,movie.directed_by
list all steven spielberg movies,O O B_director I_director O,movie.directed_by
please find the movies by steven spielberg,O O O O O B_director I_director,movie.directed_by
show films by steven spielberg,O O O B_director I_director,movie.directed_by
show steven spielberg movies,O B_director I_director O,movie.directed_by
show steven spielberg movies,O B_director I_director O,movie.directed_by
steven spielberg movies,B_director I_director O,movie.directed_by
steven spielberg pictures,B_director I_director O,movie.directed_by
what movies has steven spielberg done,O O O B_director I_director O,movie.directed_by
find movies directed by steven spielberg,O O O O B_director I_director,movie.directed_by
movie by steven spielberg,O O B_director I_director,movie.directed_by
movie stuff for steven spielberg,O O O B_director I_director,movie.directed_by
movies by steven spielberg,O O B_director I_director,movie.directed_by
movies directed by steven spielberg,O O O B_director I_director,movie.directed_by
can i see what movies steven spielberg has done,O O O O O B_director I_director O O,movie.directed_by
can you find movies with steven spielberg,O O O O O B_director I_director,movie.directed_by
spielberg movies,B_director O,movie.directed_by
videos of steven spielberg,O O B_director I_director,movie.directed_by
find a list of movies directed by spielberg,O O O O O O O B_director,movie.directed_by
show me the movies that spielberg made,O O O O O B_director O,movie.directed_by
can you please search for movies by steven spielberg,O O O O O O O B_director I_director,movie.directed_by
find movies directed by stephen spielberg,O O O O B_director I_director,movie.directed_by
find movies directed by stephen spielberg,O O O O B_director I_director,movie.directed_by
i would like to search for movies directed by stephen spielberg,O O O O O O O O O B_director I_director,movie.directed_by
list some movies directed by steven spielberg,O O O O O B_director I_director,movie.directed_by
please find movies directed by stephen spielberg,O O O O O B_director I_director,movie.directed_by
show me movies directed by steven spielberg,O O O O O B_director I_director,movie.directed_by
show me the movies directed by steven spielberg,O O O O O O B_director I_director,movie.directed_by
which movies are from stephen spielberg,O O O O B_director I_director,movie.directed_by
gilda charles vidor,B_movie B_director I_director,movie.directed_by
show me movie gilda by charles vidor,O O O B_movie O B_director I_director,movie.directed_by
find some musical movies,O O B_genre O,movie.genre
looking for a musical movie,O O O B_genre O,movie.genre
show me a list of musicals,O O O O O B_genre,movie.genre
find the movie hum tum,O O O B_movie I_movie,
find movies directed by eddie murphy,O O O O B_director I_director,movie.directed_by
search movies by noah baumbach,O O O B_director I_director,movie.directed_by
search chick flicks,O B_genre I_genre,movie.genre
can you show me movies about war,O O O O O O B_subject,movie.subjects
show me some war themed movies,O O O B_subject O O,movie.subjects
show movies concerning war,O O O B_subject,movie.subjects
please list movies about war,O O O O B_subject,movie.subjects
list movies about war,O O O B_subject,movie.subjects
what movies are made by twentieth century fox television,O O O O O B_producer I_producer I_producer I_producer,movie.production_companies
find movies directed by todd solondz,O O O O B_director I_director,movie.directed_by
find me movies with hugh jackman,O O O O B_cast I_cast,movie.starring.actor
what ron howard movies are rated pg-13,O B_director I_director O O O B_mpaa_rating,movie.rating movie.directed_by
look for dramas made or shot in france,O O B_genre O O O O B_country,movie.country movie.genre
find movies from france,O O O B_country,movie.country
i want to see movies from france,O O O O O O B_country,movie.country
movies from france,O O B_country,movie.country
what are all the movies to come out of france,O O O O O O O O O B_country,movie.country
give me a list of movies made in france,O O O O O O O O B_country,movie.country
i am looking for movies made in france,O O O O O O O B_country,movie.country
i want to see a list of movies that were made in france,O O O O O O O O O O O O B_country,movie.country
i would like to view any movies made in france,O O O O O O O O O B_country,movie.country
please show me movies made in france,O O O O O O B_country,movie.country
find movies from france,O O O B_country,movie.country
find movies from france,O O O B_country,movie.country
what movies were filmed in france,O O O O O B_country,movie.country
find french films,O B_country O,movie.country movie.language
find french movies,O B_country O,movie.country movie.language
find french movies,O B_country O,movie.country movie.language
french movies,B_country O,movie.country movie.language
i would like to see french movies,O O O O O B_country O,movie.country movie.language
list french movies,O B_country O,movie.country movie.language
look for french movies,O O B_country O,movie.country movie.language
look up french movies,O O B_country O,movie.country movie.language
show me french movies,O O B_country O,movie.country movie.language
show me only french foreign films,O O O B_country O O,movie.country movie.language
are there any french films showing,O O O B_country O O,movie.country movie.language
show me mystery movies,O O B_genre O,movie.genre
find movies produced by disney pixar,O O O O O B_producer,movie.production_companies
show me pixar films,O O B_producer O,movie.production_companies
find movies produced by lucas films,O O O O B_producer O,movie.production_companies
i would like to find movies starring the singer mario,O O O O O O O O B_cast I_cast,movie.starring.actor
look for movies starring the singer mario,O O O O O B_cast I_cast,movie.starring.actor
search for movies starring the singer mario,O O O O O B_cast I_cast,movie.starring.actor
bring up all diving movies,O O O B_subject O,movie.subjects
bring up all diving related movies,O O O B_subject O O,movie.subjects
show me all movies about diving,O O O O O B_subject,movie.subjects
show me diving movies,O O B_subject O,movie.subjects
sort in all diving movies,O O O B_subject O,movie.subjects
what is the plot of vulgaria,O O O O O B_movie,
find movies by mosfilm,O O O B_producer,movie.production_companies
search for movies that were produced by mosfilm,O O O O O O O B_producer,movie.production_companies
what films deal with immigrants in america,O O O O B_subject I_subject I_subject,movie.subjects
look for cher movies,O O B_person O,movie.starring.actor
show me cher movies,O O B_person O,movie.starring.actor
eva mendes films,B_person I_person O,movie.starring.actor
the god father,B_movie I_movie I_movie,
i need a list of tom hanks movies,O O O O O B_person I_person O,movie.starring.actor
i want to view only movies with tom hanks,O O O O O O O B_cast I_cast,movie.starring.actor
i want to watch movies with tom hanks,O O O O O O B_cast I_cast,movie.starring.actor
list tom hanks movies for me,O B_person I_person O O O,movie.starring.actor
movies with tom hanks,O O B_cast I_cast,movie.starring.actor
show me tom hanks movies,O O B_person I_person O,movie.starring.actor
show tom hanks movies,O B_person I_person O,movie.starring.actor
tom hanks movies,B_person I_person O,movie.starring.actor
watch tom hanks,O B_cast I_cast,movie.starring.actor
what other movies did tom hanks star in,O O O O B_cast I_cast O O,movie.starring.actor
find movies produced by morgan freeman,O O O O B_producer I_producer,movie.produced_by
producer tom hanks movies,O B_producer I_producer O,movie.produced_by
what did tom hanks produces,O O B_producer I_producer O,movie.produced_by
find movies directed by oliver stone,O O O O B_director I_director,movie.directed_by
find oliver stone directed movies,O B_director I_director O O,movie.directed_by
i need movies directed by oliver stone,O O O O O B_director I_director,movie.directed_by
please provide movies directed by oliver stone,O O O O O B_director I_director,movie.directed_by
show movies directed by oliver stone,O O O O B_director I_director,movie.directed_by
name all of the movies john singleton has directed,O O O O O B_director I_director O O,movie.directed_by
what are all of the movies that john singleton has directed,O O O O O O O B_director I_director O O,movie.directed_by
show me movies in greek,O O O O B_language,movie.language
are there any movies in greek,O O O O O B_language,movie.language
can i see all movies starring alan rickman,O O O O O O B_cast I_cast,movie.starring.actor
show me movies with alan rickman,O O O O B_cast I_cast,movie.starring.actor
show movies charlie sheen,O O B_person I_person,movie.starring.actor
funny pg thirteen movies,B_genre B_mpaa_rating I_mpaa_rating O,movie.rating movie.genre
find movies produced by albert ruddy,O O O O B_producer I_producer,movie.produced_by
please look up movies produced by albert ruddy,O O O O O O B_producer I_producer,movie.produced_by
list all movies produced by alfred ruddy,O O O O O B_producer I_producer,movie.produced_by
search for movies produced by albert ruddy,O O O O O B_producer I_producer,movie.produced_by
what movies has albert ruddy produced,O O O B_producer I_producer O,movie.produced_by
what movies have albert ruddy produced,O O O B_producer I_producer O,movie.produced_by
which movie was produced by albert rudy,O O O O O B_producer I_producer,movie.produced_by
which all movies are produced by yash chopra,O O O O O O B_producer I_producer,movie.produced_by
the camp out,B_movie I_movie I_movie,
get all brad pitt produced movies,O O B_producer I_producer O O,movie.produced_by
what movies have brad pitt produced,O O O B_producer I_producer O,movie.produced_by
what movies were produced by brad pitt,O O O O O B_producer I_producer,movie.produced_by
find movies starring halle berry,O O O B_cast I_cast,movie.starring.actor
look for films with halle berry,O O O O B_cast I_cast,movie.starring.actor
search movies in which halle berry acted,O O O O B_cast I_cast O,movie.starring.actor
films by mel gibson,O O B_director I_director,movie.directed_by
search movies made by mel gibson,O O O O B_director I_director,movie.directed_by
movies by mel gibson,O O B_director I_director,movie.directed_by
